2021-07-07-04-55-10-173127 EdgeServer-1 AP-1 EdgeServer-1 SVCR 28 (sent)
2021-07-07-13-55-10-265197 AP-1 192.168.0.113 EdgeServer-1 SVCR 28 (recvd)
2021-07-07-13-55-10-371904 AP-1 USER AP-1 SVCR 28 (sent)
2021-07-07-13-55-10-432743 USER 192.168.0.2 AP-1 SVCR 27 (recvd)
2021-07-07-13-55-10-947278 USER AP-1 USER SVCQ 29 (sent)
2021-07-07-13-55-11-007116 AP-1 192.168.0.2 USER SVCQ 29 (recvd)
2021-07-07-13-55-11-113195 AP-1 EdgeServer-1 AP-1 SVCQ 29 (sent)
2021-07-07-04-55-11-079669 EdgeServer-1 192.168.0.2 AP-1 SVCQ 29 (recvd)
2021-07-07-04-55-11-195375 EdgeServer-1 AP-1 EdgeServer-1 SVCR 29 (sent)
2021-07-07-13-55-11-324072 AP-1 192.168.0.113 EdgeServer-1 SVCR 29 (recvd)
2021-07-07-13-55-11-429041 AP-1 USER AP-1 SVCR 29 (sent)
2021-07-07-13-55-11-459821 USER 192.168.0.2 AP-1 SVCR 28 (recvd)
2021-07-07-13-55-11-962222 USER AP-1 USER SVCQ 30 (sent)
2021-07-07-13-55-12-068441 AP-1 192.168.0.2 USER SVCQ 30 (recvd)
2021-07-07-13-55-12-174199 AP-1 EdgeServer-1 AP-1 SVCQ 30 (sent)
2021-07-07-04-55-12-192411 EdgeServer-1 192.168.0.2 AP-1 SVCQ 30 (recvd)
2021-07-07-04-55-12-338716 EdgeServer-1 AP-1 EdgeServer-1 SVCR 30 (sent)
2021-07-07-13-55-12-385448 AP-1 192.168.0.113 EdgeServer-1 SVCR 30 (recvd)
2021-07-07-13-55-12-476726 USER 192.168.0.2 AP-1 SVCR 29 (recvd)
2021-07-07-13-55-12-491584 AP-1 USER AP-1 SVCR 30 (sent)
2021-07-07-13-55-12-977511 USER AP-1 USER SVCQ 31 (sent)
2021-07-07-13-55-13-022438 AP-1 192.168.0.2 USER SVCQ 31 (recvd)
2021-07-07-13-55-13-127940 AP-1 EdgeServer-1 AP-1 SVCQ 31 (sent)
2021-07-07-04-55-13-094600 EdgeServer-1 192.168.0.2 AP-1 SVCQ 31 (recvd)
2021-07-07-04-55-13-242125 EdgeServer-1 AP-1 EdgeServer-1 SVCR 31 (sent)
2021-07-07-13-55-13-340660 AP-1 192.168.0.113 EdgeServer-1 SVCR 31 (recvd)
2021-07-07-13-55-13-446552 AP-1 USER AP-1 SVCR 31 (sent)
2021-07-07-13-55-13-491798 USER 192.168.0.2 AP-1 SVCR 30 (recvd)
2021-07-07-13-55-13-992220 USER AP-1 USER SVCQ 32 (sent)
2021-07-07-13-55-14-082740 AP-1 192.168.0.2 USER SVCQ 32 (recvd)
2021-07-07-13-55-14-189402 AP-1 EdgeServer-1 AP-1 SVCQ 32 (sent)
2021-07-07-04-55-14-166145 EdgeServer-1 192.168.0.2 AP-1 SVCQ 32 (recvd)
2021-07-07-04-55-14-331482 EdgeServer-1 AP-1 EdgeServer-1 SVCR 32 (sent)
2021-07-07-13-55-14-401996 AP-1 192.168.0.113 EdgeServer-1 SVCR 32 (recvd)
2021-07-07-13-55-14-506989 USER 192.168.0.2 AP-1 SVCR 31 (recvd)
2021-07-07-13-55-14-506989 AP-1 USER AP-1 SVCR 32 (sent)
2021-07-07-13-55-15-021519 USER AP-1 USER SVCQ 33 (sent)
2021-07-07-13-55-15-036276 AP-1 192.168.0.2 USER SVCQ 33 (recvd)
2021-07-07-13-55-15-143581 AP-1 EdgeServer-1 AP-1 SVCQ 33 (sent)
2021-07-07-04-55-15-286188 EdgeServer-1 192.168.0.2 AP-1 SVCQ 33 (recvd)
2021-07-07-13-55-15-535007 USER 192.168.0.2 AP-1 SVCR 32 (recvd)
2021-07-07-04-55-15-512889 EdgeServer-1 AP-1 EdgeServer-1 SVCR 33 (sent)
2021-07-07-13-55-15-564977 AP-1 192.168.0.113 EdgeServer-1 SVCR 33 (recvd)
2021-07-07-13-55-15-670980 AP-1 USER AP-1 SVCR 33 (sent)
2021-07-07-13-55-16-050043 USER AP-1 USER SVCQ 34 (sent)
2021-07-07-13-55-16-095945 AP-1 192.168.0.2 USER SVCQ 34 (recvd)
2021-07-07-13-55-16-202412 AP-1 EdgeServer-1 AP-1 SVCQ 34 (sent)
2021-07-07-04-55-16-219497 EdgeServer-1 192.168.0.2 AP-1 SVCQ 34 (recvd)
2021-07-07-04-55-16-338384 EdgeServer-1 AP-1 EdgeServer-1 SVCR 34 (sent)
2021-07-07-13-55-16-415479 AP-1 192.168.0.113 EdgeServer-1 SVCR 34 (recvd)
2021-07-07-13-55-16-521733 AP-1 USER AP-1 SVCR 34 (sent)
2021-07-07-13-55-16-552395 USER 192.168.0.2 AP-1 SVCR 33 (recvd)
2021-07-07-13-55-17-054550 USER AP-1 USER SVCQ 35 (sent)
2021-07-07-13-55-17-161965 AP-1 192.168.0.2 USER SVCQ 35 (recvd)
2021-07-07-13-55-17-267738 AP-1 EdgeServer-1 AP-1 SVCQ 35 (sent)
2021-07-07-04-55-17-337983 EdgeServer-1 192.168.0.2 AP-1 SVCQ 35 (recvd)
2021-07-07-04-55-17-479123 EdgeServer-1 AP-1 EdgeServer-1 SVCR 35 (sent)
2021-07-07-13-55-17-556477 USER 192.168.0.2 AP-1 SVCR 34 (recvd)
2021-07-07-13-55-17-586473 AP-1 192.168.0.113 EdgeServer-1 SVCR 35 (recvd)
2021-07-07-13-55-17-691720 AP-1 USER AP-1 SVCR 35 (sent)
2021-07-07-13-55-18-057868 USER AP-1 USER SVCQ 36 (sent)
2021-07-07-13-55-18-119853 AP-1 192.168.0.2 USER SVCQ 36 (recvd)
